symbol, name, exchange, marketCap, IPOYear, sector, industry, summary
BXP-B,Boston Properties Inc.,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/bxp-b
BSX,Boston Scientific Corporation,NYSE,2.404E10,,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bsx
BOX,Box Inc.,NYSE,1.57E9,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/box
BYD,Boyd Gaming Corporation,NYSE,2.24E9,1993,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/byd
BP,BP p.l.c.,NYSE,1.053E11,,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/bp
BPT,BP Prudhoe Bay Royalty Trust,NYSE,7.4237E8,,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/bpt
BERY,BPC Acquisition Corp,NYSE,4.38E9,2012,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/bery
BRC,Brady Corporation,NYSE,1.31E9,,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/brc
BDN-E,Brandywine Realty Tr,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/bdn-e
BDN,Brandywine Realty Trust,NYSE,2.39E9,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/bdn
LND,Brasilagro Cia Brasileira De Propriedades Agricolas,NYSE,1.7503E8,,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/lnd
BAK,Braskem S.A.,NYSE,5.79E9,,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/bak
BRFS,BRF S.A.,NYSE,1.2E10,,Consumer Non-Durables,Meat/Poultry/Fish,http://www.nasdaq.com/symbol/brfs
BPI,Bridgepoint Education Inc.,NYSE,3.6535E8,2009,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/bpi
BGG,Briggs & Stratton Corporation,NYSE,8.301E8,,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bgg
BFAM,Bright Horizons Family Solutions Inc.,NYSE,3.9E9,2013,Miscellaneous,Other Consumer Services,http://www.nasdaq.com/symbol/bfam
EAT,Brinker International Inc.,NYSE,2.7E9,,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/eat
BCO,Brink&#39;s Company (The),NYSE,1.56E9,,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/bco
BMY,Bristol-Myers Squibb Company,NYSE,1.1314E11,,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bmy
BRS,Bristow Group Inc,NYSE,1.02E9,,Transportation,Transportation Services,http://www.nasdaq.com/symbol/brs
BRX,Brixmor Property Group Inc.,NYSE,7.49E9,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/brx
BR,Broadridge Financial Solutions Inc.,NYSE,6.62E9,,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/br
BKD,Brookdale Senior Living Inc.,NYSE,4.18E9,2005,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/bkd
BAM,Brookfield Asset Management Inc,NYSE,3.369E10,,Consumer Services,Building operators,http://www.nasdaq.com/symbol/bam
BOXC,Brookfield Canada Office Properties,NYSE,5.1642999999999994E8,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/boxc
DTLA-,Brookfield DTLA Inc.,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/dtla-
INF,Brookfield Global Listed Infrastructure Income Fund,NYSE,1.377E8,,n/a,n/a,http://www.nasdaq.com/symbol/inf
HHY,Brookfield High Income Fund Inc.,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/hhy
BIP,Brookfield Infrastructure Partners LP,NYSE,6.81E9,,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/bip
BOI,Brookfield Mortgage Opportunity Income Fund Inc.,NYSE,,2013,n/a,n/a,http://www.nasdaq.com/symbol/boi
BPY,Brookfield Property Partners L.P.,NYSE,5.98E9,,Finance,Real Estate,http://www.nasdaq.com/symbol/bpy
BEP,Brookfield Renewable Powerr Fund,NYSE,3.69E9,,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/bep
HTR,Brookfield Total Return Fund Inc.,NYSE,3.0351E8,1989,n/a,n/a,http://www.nasdaq.com/symbol/htr
BRO,Brown & Brown Inc.,NYSE,4.59E9,,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/bro
BF.A,Brown Forman Corporation,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/bf.a
BF.B,Brown Forman Corporation,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/bf.b
BRT,BRT Realty Trust,NYSE,9.617E7,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/brt
BC,Brunswick Corporation,NYSE,4.98E9,,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bc
BT,BT Group plc,NYSE,6.214E10,,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/bt
BPL,Buckeye Partners L.P.,NYSE,8.58E9,1986,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/bpl
BKE,Buckle Inc. (The),NYSE,1.48E9,,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/bke
BVN,Buenaventura Mining Company Inc.,NYSE,1.14E9,1996,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/bvn
BBW,Build-A-Bear Workshop Inc.,NYSE,1.9925E8,2004,Consumer Services,Recreational Products/Toys,http://www.nasdaq.com/symbol/bbw
BG,Bunge Limited,NYSE,9.33E9,2001,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/bg
BURL,Burlington Stores Inc.,NYSE,3.34E9,2013,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/burl
BWXT,BWX Technologies Inc.,NYSE,3.13E9,,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bwxt
CJES,C&J Energy Services Ltd.,NYSE,5.9811E8,2015,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/cjes
BCR,C.R. Bard Inc.,NYSE,1.385E10,,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bcr
BNK,C1 Financial Inc.,NYSE,3.8964E8,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/bnk
GYB,CABCO Series 2004-101 Trust,NYSE,,,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/gyb
PFH,CABCO Series 2004-101 Trust,NYSE,,,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/pfh
CAB,Cabela&#39;s Inc,NYSE,3.2E9,2004,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/cab
CABO,Cable One Inc.,NYSE,2.58E9,2015,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cabo
CVC,Cablevision Systems Corporation,NYSE,8.57E9,1986,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cvc
CBT,Cabot Corporation,NYSE,2.61E9,,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cbt
COG,Cabot Oil & Gas Corporation,NYSE,8.23E9,1990,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cog
CACI,CACI International Inc.,NYSE,2.39E9,,Technology,EDP Services,http://www.nasdaq.com/symbol/caci
CAE,CAE Inc,NYSE,3.03E9,,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cae
CAI,CAI International Inc.,NYSE,2.2325E8,,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/cai
